"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=5945297,7133634,6844748,5411977,4575276,6945304,7045011,1626027,4373481,6554056,5540814,4447772,4451089,6950910,6115504,1527351,1610006,5620540,6618662,5283125,6347620,6405632,4925084,5161659,4696203,4230954,6364527,6141351,5559708,6916624,5958858,5548289,6724321,1607921,1437817,1330937,6389736,6211992,1656050,4148961,7102472,6416889,5302607,4156645,5708601,6755057,935044,5488435,6732386,5614106,1181776,6392538,5772420,1306386,5629206,1614734,6985519,723795,7182328,4469391,5473776,4666405,7168448,6967159,6269577,5260652,1226013,6332351,5604057,5376160,5963752,5068454,1550996,1437839,5700198,6639361,6783487,4604543,6968613,6378943,6984281,6918236,4382870,6838298,7000824,4808889,1712831,4064325,6030216,1624001,1176757,5473978,4021812,5473265,5541866,4351465,4365703,4438967,4344785,5958871",2015/11/20 18:06:07
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Genetic Algorithm-Artificial Neural Network (GA-ANN) Hybrid Intelligence for Cancer Diagnosis","Ahmad, F.; Mat-Isa, N.A.; Hussain, Z.; Boudville, R.; Osman, M.K.","Sch. of Electr. & Electron. Eng., Univ. Sains Malaysia, Nibong Tebal, Malaysia","Computational Intelligence, Communication Systems and Networks (CICSyN), 2010 Second International Conference on","20101101","2010","","","78","83","Artificial Neural Network (ANN) is one of the most promising biological inspired computational intelligence techniques. However designing an ANN is a difficult task as it requires setting of ANN structure and tuning of some complex parameter. On the other hand, Genetic Algorithm (GA) as a global search technique is useful for complex optimization problem where the numbers of parameters are large and difficult to obtain. In this paper GA has been used to simultaneously select significant features as input to ANN and automatically determine the optimal number of hidden node. Meanwhile the ANN training is done by Levenberg Marquardt (LM) algorithm. A new procedure in obtaining optimal ANN architecture is also described which based on feature importance determine by Genetic Algorithm. Simulation results on cancer dataset proved that the proposed method has achieved the highest 97% average percentage of correct classification with the absent of 2<sup>nd</sup> and 5<sup>th</sup> feature.","","978-1-4244-7837-8","978-0-7695-4158-7","10.1109/CICSyN.2010.46","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5614106","Artificial Neural Network;Computational Intelligence;Feature Selection and Hidden Node Optimization;Genetic Algorithm","Accuracy;Artificial neural networks;Biological cells;Cancer;Gallium;Optimization;Training","cancer;genetic algorithms;medical computing;neural nets;patient diagnosis","Levenberg Marquardt algorithm;artificial neural network hybrid intelligence;cancer diagnosis;computational intelligence techniques;genetic algorithm;global search technique","","2","","15","","","28-30 July 2010","","IEEE","IEEE Conference Publications"
"Controlling intrusion detection systems by generating false positives: squealing proof-of-concept","Yurcik, W.","Nat. Center for Supercomput. Applications, Illinois Univ., Urbana-Champaign, IL, USA","Local Computer Networks, 2002. Proceedings. LCN 2002. 27th Annual IEEE Conference on","20030228","2002","","","134","135","We introduce a new class of attack against a network signature-based intrusion detection system (IDS) which we have tested using SNORT and we call ""squealing"". This vulnerability has significant implications since it can be generalized to any IDS. While signature-based IDSs have implementation problems with high false positive rates that require tuning, we show a more serious general vulnerability in that packets can be crafted to match attack signatures such that alarms can be selectively triggered allowing a target IDS to be externally controlled by a malicious attacker.","0742-1303","0-7695-1591-6","","10.1109/LCN.2002.1181776","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1181776","","Buffer overflow;Control systems;Intrusion detection;Pattern matching;Payloads;Sun;System testing;TCPIP;Uncertainty;Writing","Internet;packet switching;telecommunication security;transport protocols","IDS;SNORT;attack signatures;false positives;malicious attacker;network signature-based intrusion detection system;packets;squealing proof-of-concept;vulnerability","","3","5","5","","","6-8 Nov. 2002","","IEEE","IEEE Conference Publications"
"An incremental semi rule-based learning model for cybersecurity in cyberinfrastructures","Kianmehr, K.","Dept. of Electr. & Comput. Eng., Western Univ., London, ON, Canada","Cyber Technology in Automation, Control, and Intelligent Systems (CYBER), 2012 IEEE International Conference on","20121224","2012","","","123","128","Classification algorithms are popular data mining methods that are widely used in intrusion detection systems. However, they tend to show good performance on off-line data and their accuracy drop when they are deployed to realtime intrusion detection systems that receive data streams constantly. In other words, the problem with a conventional classifier model, when applied to realtime detection systems, is that it is likely to perform poorly against new data that is different from the patterns against which the model was trained. This work presents an adaptive classification framework for a realtime intrusion detection system that changes its behavior according to the patterns occurred in the new received data. The performance of the system is constantly monitored and whenever it drops under a certain level of accuracy, the classifier model is retrained to learn new patterns and eliminate the obsolete ones from its knowledge. Further, the framework uses a semi rule-based approach to classification in order to make the model more understandable for human experts and facilitate the user interference in the learning process.","","978-1-4673-1420-6","","10.1109/CYBER.2012.6392538","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6392538","","Accuracy;Association rules;Clustering algorithms;Feature extraction;Support vector machines;Training","data mining;learning (artificial intelligence);pattern classification;security of data;user interfaces","adaptive classification framework;classification algorithm;classifier model;cyberinfrastructure;cybersecurity;data mining method;incremental semi rule-based learning model;realtime intrusion detection system;user interference","","0","","13","","","27-31 May 2012","","IEEE","IEEE Conference Publications"
"Probabilistic Route Selection Algorithm to Trace DDoS Attack Traffic Source","Hongbin Yim; Taewon Kim; Jaeil Jung","Dept. of Electron. Comput. Eng., Hanyang Univ., Seoul, South Korea","Information Science and Applications (ICISA), 2011 International Conference on","20110523","2011","","","1","8","DoS(Denial of Service) or DDoS(Distributed DoS) attack is a major threaten and the most difficult problem to solve among many attacks. Moreover, it is very difficult to find a real origin of attackers because DoS/DDoS attacker uses spoofed IP addresses. To solve this problem, we propose a probabilistic route selection algorithm to trace the attacker's real origin. This algorithm uses three types of packets such as an alert packet, an agent packet and a reply agent packet. The alert packet is in use to notify to a victim that DDoS attacks occur. The agent packet is in use to find the attacker's real origin and the reply agent packet is in use to notify to a victim that the agent packet is reached the edge router of the attacker. When source-end detector and victim-end detector detect attacks, the victim-end detector sends the alert packet to the victim. The victim received the alert packet generates the agent packet and sends it to a victim's edge router. The attacker's edge router received the agent packet generates the reply agent packet and send it to the victim. The agent packet and the reply agent packet is forwarded refer to probabilistic packet forwarding table by routers. The probabilistic route selection algorithm runs on the distributed routers and probabilistic packet forwarding table is stored and managed by routers. We simulate for the propose of validation this algorithm by using OPNET14.0 in terms of false positive and required number of packets to trace DDoS attack traffic source.","","978-1-4244-9222-0","978-1-4244-9223-7","10.1109/ICISA.2011.5772420","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5772420","","Computer crime;IP networks;Image edge detection;Internet;Logic gates;Probabilistic logic;Watermarking","IP networks;Internet;computer network security;probability;telecommunication network routing;telecommunication traffic","DDoS attack traffic source;DoS attack;Internet;OPNET14.0;agent packet;alert packet;distributed denial of service;probabilistic packet forwarding;probabilistic route selection algorithm;reply agent packet;source-end detector;spoofed IP addresses;victim-end detector","","0","","7","","","26-29 April 2011","","IEEE","IEEE Conference Publications"
"Worm epidemics in high-speed networks","Chen, T.M.; Robert, J.-M.","Dept. of Electr. Eng., Southern Methodist Univ., Dallas, TX, USA","Computer","20040621","2004","37","6","48","53","Future worm epidemics might spread at unprecedented rates in high-speed networks. A comprehensive automated defense system will be the only way to contain new threats but could be too risky to implement without more reliable detection accuracy and better real-time traffic analysis. Although researchers continue to work on improving worm detection accuracy and real-time traffic analysis, a practical solution thus far remains elusive. One possible alternative is to try to prevent a worm from spreading rather than react to an existing epidemic.","0018-9162","","","10.1109/MC.2004.36","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1306386","","Biological system modeling;Collaborative software;Computer crime;Computer viruses;Computer worms;High-speed networks;IP networks;Intelligent networks;Internet;Pervasive computing","Internet;invasive software;real-time systems;telecommunication security;telecommunication traffic","automated defense system;high-speed networks;real-time traffic analysis;worm epidemic","","14","","12","","","June 2004","","IEEE","IEEE Journals & Magazines"
"A Research on Intrusion Detection Based on Support Vector Machines","Xiaozhao Fang; Wei Zhang; Shaohua Teng; Na Han","Fac. of Comput., Guangdong Univ. of Technol., Guangzhou, China","Communications and Intelligence Information Security (ICCIIS), 2010 International Conference on","20101111","2010","","","109","112","Mass of the training samples and setting parameters of SVM artificially will affect badly the efficiency to find an optimal decision hyper plane for SVM. In this paper, FCM clustering algorithm and heuristic PSO algorithm are applied to Intrusion Detection. FCM clustering algorithm is designed to help SVM to find the optimal training samples from vast amounts of data; heuristic PSO algorithm is designed to find optimal parameters for SVM intelligently. The result of simulations run on the data of KDDCUP1999 shows that this approach can not only reduce the number of training samples and training time for SVM, but also detect unknown and known intrusions efficiently in the network.","","978-1-4244-8649-6","978-0-7695-4260-7","10.1109/ICCIIS.2010.42","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5629206","Fuzzy C-means Clustering;Particle Swarm Optimization;Support Vector Machines;Support vector","Algorithm design and analysis;Classification algorithms;Clustering algorithms;Intrusion detection;Support vector machines;Training;Training data","fuzzy set theory;particle swarm optimisation;security of data;support vector machines","clustering algorithm;fuzzy c-means clustering;heuristic PSO algorithm;intrusion detection;optimal decision hyperplane;particle swarm optimization;support vector machines","","0","","11","","","13-14 Oct. 2010","","IEEE","IEEE Conference Publications"
"Designing Abstract Immune Mobile Agents for Distributed Intrusion Detection","Zeming Zhang; Wenjian Luo; Xufa Wang","Dept. of Comput. Sci. & Technol., Univ. of Sci. & Technol. of China","Neural Networks and Brain, 2005. ICNN&B '05. International Conference on","20060410","2005","2","","748","753","Inspired by the self-protection mechanism of biological immune system which can be regarded as a typical multi-agent system, a novel distributed intrusion detection model based on immune mobile agents is proposed in this paper. In this model, every immune agent owns a small detector set which represents its detection function. After biological immune principles are introduced, the corresponding distributed intrusion detection model is described in detail. With the detector set generated by evolutionary negative selection algorithm, the immune agents can evolve to adapt to the change of intrusion patterns according to the real circumstance. Therefore the anomaly changes in large non-self space can be detected by the immune agents with relatively small detector sets. This paper focuses on the immune agents' initialization, detection, evolution and update strategies. The immune agents are abstract and their detailed implementations are not taken into account in this paper. Finally the characteristics of this distributed model are also discussed in detail","","0-7803-9422-4","","10.1109/ICNNB.2005.1614734","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1614734","","Biological system modeling;Cells (biology);Character recognition;Detectors;Immune system;Intrusion detection;Mobile agents;Mobile communication;Multiagent systems;Protection","biology computing;evolutionary computation;mobile agents;multi-agent systems;security of data","abstract immune mobile agents;biological immune system;distributed intrusion detection model;evolutionary negative selection algorithm;multi-agent system;self-protection mechanism","","1","","19","","","13-15 Oct. 2005","","IEEE","IEEE Conference Publications"
"Advances on Security Threats and Countermeasures for Cognitive Radio Networks: A Survey","Sharma, R.K.; Rawat, D.B.","Int. Grad. Sch. on Mobile Commun., Ilmenau Univ. of Technol., Ilmenau, Germany","Communications Surveys & Tutorials, IEEE","20150519","2015","17","2","1023","1043","Cognitive radio (CR) is regarded as an emerging technology, which equips wireless devices with the capability to adapt their operating parameters on the fly based on the radio environment, to utilize the scarce radio frequency spectrum in an efficient and opportunistic manner. However, due to the increasingly pervasive existence of smart wireless devices in cognitive radio networks (CRNs), CR systems are vulnerable to numerous security threats that affect the overall performance. There have been many significant advances on security threats and countermeasures in CRNs in the past few years. Our main goal in this paper is to present the state-of-the-art research results and approaches proposed for CRN security to protect both unlicensed secondary users and licensed primary users. Specifically, we present the recent advances on security threats/attacks and countermeasures in CRNs focusing more on the physical layer by categorizing them in terms of their types, their existence in the CR cycle, network protocol layers (exploited during their activities and defense strategies), and game theoretic approaches. The recent important attacks and countermeasures in CRNs are also summarized in the form of tables. We also present recommendations that can be followed while implementing countermeasures to enhance CRN security. With this paper, readers can have a more thorough understanding of CRN security attacks and countermeasures, as well as research trends in this area.","1553-877X","","","10.1109/COMST.2014.2380998","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6985519","CR security;Cognitive radio (CR);game theory;software-defined radio;wireless security","Collaboration;Communication system security;Physical layer;Protocols;Security;Sensors;Wireless communication","cognitive radio;radio spectrum management;security of data","CR systems;CRN;cognitive radio networks;game theoretic approaches;licensed primary users;network protocol layers;scarce radio frequency spectrum;security threats;unlicensed secondary users;wireless devices","","3","","137","","2014-12-18","Secondquarter 2015","","IEEE","IEEE Journals & Magazines"
"Don't forget to test! [electronic security systems]","Brown, J.A., Jr.","US Army Eng. & Support Center, Huntsville, AL, USA","Security Technology, 1998. Proceedings., 32nd Annual 1998 International Carnahan Conference on","20020806","1998","","","225","229","Oftentimes, one of the first aspects of electronic security systems fielding projects to be sacrificed in the name of “cost control” or “schedule constraints” is the final test and checkout of the installed system. This paper presents sound rationale for conducting thorough acceptance testing and points out that the performance of these systems cannot truly be verified without a 100% end-to-end test","","0-7803-4535-5","","10.1109/CCST.1998.723795","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=723795","","","access control;alarm systems;electronic equipment testing;security;testing","acceptance testing;cost control;electronic security systems;final test;performance;schedule constraints","","0","","","","","12-14 Oct 1998","12 Oct 1998-14 Oct 1998","IEEE","IEEE Conference Publications"
"TorWard: Discovery, Blocking, and Traceback of Malicious Traffic Over Tor","Zhen Ling; Junzhou Luo; Kui Wu; Wei Yu; Xinwen Fu","Sch. of Comput. Sci. & Eng., Southeast Univ., Nanjing, China","Information Forensics and Security, IEEE Transactions on","20150925","2015","10","12","2515","2530","Tor is a popular low-latency anonymous communication system. It is, however, currently abused in various ways. Tor exit routers are frequently troubled by administrative and legal complaints. To gain an insight into such abuse, we designed and implemented a novel system, TorWard, for the discovery and the systematic study of malicious traffic over Tor. The system can avoid legal and administrative complaints, and allows the investigation to be performed in a sensitive environment such as a university campus. An intrusion detection system (IDS) is used to discover and classify malicious traffic. We performed comprehensive analysis and extensive real-world experiments to validate the feasibility and the effectiveness of TorWard. Our results show that around 10% Tor traffic can trigger IDS alerts. Malicious traffic includes P2P traffic, malware traffic (e.g., botnet traffic), denial-of-service attack traffic, spam, and others. Around 200 known malwares have been identified. To mitigate the abuse of Tor, we implemented a defense system, which processes IDS alerts, tears down, and blocks suspect connections. To facilitate forensic traceback of malicious traffic, we implemented a dual-tone multi-frequency signaling-based approach to correlate botnet traffic at Tor entry routers and that at exit routers. We carried out theoretical analysis and extensive real-world experiments to validate the feasibility and the effectiveness of TorWard for discovery, blocking, and traceback of malicious traffic.","1556-6013","","","10.1109/TIFS.2015.2465934","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7182328","Intrusion Detection System;Malicious Traffic;Tor;intrusion detection system;malicious traffic","Bandwidth;Law;Logic gates;Malware;Protocols;Servers","computer network security;digital forensics;invasive software;law;peer-to-peer computing;telecommunication network routing;telecommunication traffic","IDS alerts;P2P traffic;Tor exit routers;TorWard;administrative complaints;botnet traffic;denial-of-service attack traffic;dual-tone multifrequency signaling-based approach;forensic traceback;intrusion detection system;legal complaints;low-latency anonymous communication system;malicious traffic traceback;malware traffic;spam;suspect connections;university campus","","0","","55","","2015-08-07","Dec. 2015","","IEEE","IEEE Journals & Magazines"
"Measuring Intrusion Impacts for Rational Response: A State-based Approach","Zonghua Zhang; Xiaodong Lin; Pin-han Ho","Univ. of Waterloo, Ontario","Communications and Networking in China, 2007. CHINACOM '07. Second International Conference on","20080307","2007","","","317","321","Although intrusion detection systems (IDSs) are playing significant roles in defending information systems against attacks, they can only partially reflect the true system states due to false alarms, low detection rate, inaccurate reports, and inappropriate responses. Automated response component built upon such systems therefore must consider the imperfect picture inferred from them and take actions accordingly. This paper presents a stat- based approach to measuring intrusion impacts on the basis of IDS reports, and analyzing costs and benefits of response polices supposed to be taken. Specifically, assuming the system evolves as a Markov process conditioned upon the current system state, imperfect observation and action, a partially observable Markov decision process to model the efficacy of IDSs (as well as alert correlation technology) as providing a probabilistic assessment of the state of system assets, and to maximize rewards (cost and benefit) by taking appropriate actions in response to the estimated states. The objective is to move the system towards more secure states with respect to particular security metrics. We use a real trace benchmark data to evaluate our approach, and demonstrate its promising performance.","","978-1-4244-1009-5","978-1-4244-1009-5","10.1109/CHINACOM.2007.4469391","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4469391","","Appropriate technology;Cost benefit analysis;Cost function;Hidden Markov models;Human factors;Information systems;Intrusion detection;Markov processes;Risk management;Security","Markov processes;security of data","Markov process;automated response component;intrusion detection systems;probabilistic assessment;real trace benchmark data","","1","","15","","","22-24 Aug. 2007","","IEEE","IEEE Conference Publications"
"Research on Evaluation Method of Intrusion Detection System","Chen Zhuo; Liu Qiao; Lin Shan","Hubei Univ. of Technol., Wuhan, China","e-Business and Information System Security (EBISS), 2010 2nd International Conference on","20100527","2010","","","1","4","With the deeper research of intrusion detection technique, It thus becomes an important research and development field to design a general test and evaluation method and platform and to implement kinds of IDS detection. This paper proposed an evaluation framework of Intrusion Detection System (IDS). Virtual machine technique was used in this evaluation framework, besides; it presented a 3D model of evaluation model which was included two-level fuzzy factors. At last, fuzzy comprehensive evaluation strategy based on entropy weight coefficient was used in a 3D model of evaluation indexes, which can used to set weight for each of its index factors of this evaluation system.","","978-1-4244-5893-6","978-1-4244-5895-0","10.1109/EBISS.2010.5473776","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5473776","","Databases;Entropy;Information analysis;Intrusion detection;Research and development;Scattering;System testing;Telecommunication traffic;Traffic control;Virtual machining","fuzzy set theory;research and development;security of data;virtual machines","fuzzy comprehensive evaluation;fuzzy factors;intrusion detection system;research and development;virtual machine","","0","","7","","","22-23 May 2010","","IEEE","IEEE Conference Publications"
"A New Approach to Network Anomaly Attack Detection","Hongyu Yang; Lixia Xie; Feng Xie","Sch. of Comput. Sci., Civil Aviation Univ. of China, Tianjin","Fuzzy Systems and Knowledge Discovery, 2008. FSKD '08. Fifth International Conference on","20081105","2008","4","","317","321","This paper presents a new approach to detect attacks from network activities. Network connections were transformed into data points in the predefined feature space. The influence function was designed to quantify the influence of an object and, further, the data field was divided into positive field and negative field according to the source point's category. To perform classification, all the labeled training samples were regarded as source points and build a data field in the feature space. When detecting, the influence felt by given testing point in this field was calculated and behaviors class was judged according to the sign and magnitude of the influence. Experimental results demonstrate that the detection performance of our approach is satisfying.","","978-0-7695-3305-6","","10.1109/FSKD.2008.15","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4666405","anomaly attack;classification;data field;network intrusion detection","Computer science;Computer security;Costs;Data security;Fuzzy systems;Information security;Information technology;Intrusion detection;Machine learning algorithms;Testing","pattern classification;security of data","classification;negative field;network anomaly attack detection;positive field","","1","","9","","","18-20 Oct. 2008","","IEEE","IEEE Conference Publications"
"Anomaly Intrusions Detection Based on Support Vector Machines with an Improved Bat Algorithm","Enache, A.-C.; Sgarciu, V.","Fac. of Autom. Control & Comput. Sci., Univ. Politeh., Bucharest, Romania","Control Systems and Computer Science (CSCS), 2015 20th International Conference on","20150806","2015","","","317","321","The continuous proliferation of more complex and various security threats leads to the conclusion that new solutions are required. Intrusion Detection Systems can be a pertinent solution because they can deal with the large data volumes of logs gathered from the multitude of systems and can even identify new types of attacks if based on anomaly detection. In this paper we propose an IDS model which includes two stages: feature selection with information gain and detection with Support Vector Machines (SVM). A draw-back of SVM is that its performance results are influenced by its user input parameters. Therefore, in order to better the classifier we exploit the advantages of a recent Swarm Intelligence (SI) algorithm, the Bat Algorithm (BA), which we improve by enhancing its randomization with Lévy flights. We test our model for the NSL-KDD dataset and prove that it can outperform the original BA, ABC or the popular PSO.","","978-1-4799-1779-2","","10.1109/CSCS.2015.12","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7168448","Bat Algorithm;IDS;L??vy flights;SVM","Accuracy;Feature extraction;Intrusion detection;Kernel;Silicon;Support vector machines","feature selection;optimisation;pattern classification;security of data;support vector machines;swarm intelligence","BA;IDS model;Lévy flights;NSL-KDD dataset;SI algorithm;SVM;anomaly intrusion detection systems;attack type identification;data volumes;feature selection;improved bat algorithm;information gain;support vector machines;swarm intelligence algorithm","","0","","21","","","27-29 May 2015","","IEEE","IEEE Conference Publications"
"A robust ensemble of neuro-fuzzy classifiers for DDoS attack detection","Boroujerdi, A.S.; Ayat, S.","Dept. of Comput. Eng. & Inf. Technol., Payame Noor Univ., Tehran, Iran","Computer Science and Network Technology (ICCSNT), 2013 3rd International Conference on","20141201","2013","","","484","487","Recent studies show that Distributed Denial of Service (DDoS) attacks play an important role in the security of computers because they can decrease the efficiency of victim resources within a short period of time. In this paper, an innovative ensemble of Sugeno type adaptive neuro-fuzzy classifiers has been proposed for attack detection using an effective boosting technique named Marliboost. Detection accuracy and false positive alarms are two measurements used to evaluate the performance of the proposed technique. Experimental results on the optimized randomly selected subset of NSL-KDD confirm that the proposed ensemble of classifiers has higher detection accuracy (96%) in comparison with the other widely used machine learning techniques. Moreover, false positive alarms have been greatly reduced by applying the presented technique.","","","","10.1109/ICCSNT.2013.6967159","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6967159","DDoS;boosting;ensemble of classifiers;false positive alarms;neuro-fuzzy","Accuracy;Boosting;Computer crime;Feature extraction;Intrusion detection;Testing;Training","computer network security;fuzzy neural nets;learning (artificial intelligence);pattern classification","DDoS attack detection;Marliboost;NSL-KDD;Sugeno-type adaptive neuro-fuzzy classifiers;computer security;distributed denial-of-service attack detection;machine learning techniques","","0","","16","","","12-13 Oct. 2013","","IEEE","IEEE Conference Publications"
"A novel Multi-Threaded K-Means clustering approach for intrusion detection","Pathak, V.; Ananthanarayana, V.S.","Inf. Technol. Dept., NITK Surathkal, Surathkal, India","Software Engineering and Service Science (ICSESS), 2012 IEEE 3rd International Conference on","20120816","2012","","","757","760","Due to the proliferation of high-speed Internet access, more and more organizations are becoming vulnerable to potential cyber-attacks. An intrusion is defined as any set of actions that compromise the integrity, confidentiality or availability of a resource. Intrusion Detection System (IDS), as the main security defending technique, is widely used against malicious attacks. IDS system should be good enough to detect existing attacks as well as novel attacks at high speed. Thus to fulfil these requirements a new novel Multi-Threaded K-Means clustering approach has been used which has resulted in high detection rate and low false alarm rate. A subset of KDD99 Data set has been used as an input dataset for experiments.","","978-1-4673-2007-8","","10.1109/ICSESS.2012.6269577","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6269577","Data Mining;Intrusion Detection System (IDS);K-Means algorithm;KDD99 Data Set","Availability;Manuals;Probes;Random access memory","Internet;pattern clustering;security of data","cyber-attacks;intrusion detection system;malicious attacks;multithreaded k-means clustering approach","","1","","17","","","22-24 June 2012","","IEEE","IEEE Conference Publications"
"An Artificial Immune System for Temporal Anomaly Detection Using Cell Activation Thresholds and Clonal Size Regulation with Homeostasis","Antunes, M.J.; Correia, M.E.","Polytech. Inst. of Leiria (ESTG/DEI), Leiria, Portugal","Bioinformatics, Systems Biology and Intelligent Computing, 2009. IJCBS '09. International Joint Conference on","20090925","2009","","","323","326","This paper presents an artificial immune system (AIS) based on Grossman's tunable activation threshold (TAT) for anomaly detection. We describe the immunological metaphor and the algorithm adopted for T-cells, emphasizing two important features: the temporal dynamic adjustment of T-cells clonal size and its associated homeostasis mechanism. We present some promising results obtained with artificially generated data sets, aiming to test the appropriateness of using TAT in dynamic changing environments, to distinguish new unseen patterns as part of what should be detected as normal or as anomalous.","","978-0-7695-3739-9","","10.1109/IJCBS.2009.59","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5260652","Artificial Immune System;anomaly detection;clonal size control;homeostasis;tunable activation threshold","Artificial immune systems;Artificial intelligence;Bioinformatics;Biology computing;Home computing;Immune system;Intelligent systems;Pathogens;Peptides;Systems biology","biological techniques;cellular biophysics","Grossman's tunable activation threshold;T-cells;artificial immune system;cell activation thresholds;clonal size regulation;homeostasis;immunological metaphor;temporal anomaly detection;temporal dynamic adjustment","","0","","11","","","3-5 Aug. 2009","","IEEE","IEEE Conference Publications"
"An adaptive real-time intrusion detection system using sequences of system call","Kaining Lu; Zehua Chen; Zhigang Jin; Jichang Guo","Sch. of Electron. Inf. Eng., Tianjin Univ., China","Electrical and Computer Engineering, 2003. IEEE CCECE 2003. Canadian Conference on","20030904","2003","2","","789","792 vol.2","Intrusion detection is the process of monitoring computer networks and systems for violations of security policy. IDS may be of the network (NIDS) or host (HIDS) type. Traditionally, NIDS is the only way of preventing intrusion before an intrusion occurs through analyzing data packages, but has higher false rates. Although with lower false rates, HIDS detects anomalous actions by auditing host system logs that means the intrusion has took place. In this paper, we present one collaborate IDS module to make a real-time detection and block intrusions before occurrences, based on HIDS using sequences of system call anomaly detection.","0840-7789","0-7803-7781-8","","10.1109/CCECE.2003.1226013","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1226013","","Computer networks;Computer security;Computerized monitoring;Data analysis;Data security;Information security;Intrusion detection;Packaging;Protocols;Real time systems","computer networks;data analysis;real-time systems;telecommunication security","adaptive real-time intrusion detection system;anomalous detection;block intrusion;computer network monitoring;data package analysis;host intrusion detection system;host system log auditing;intrusion prevention;network intrusion detection system;real-time detection;security policy;system call sequence;system violation","","0","","3","","","4-7 May 2003","","IEEE","IEEE Conference Publications"
"Operational Support for Critical Infrastructure Security","Hurst, W.; Merabti, M.; Fergus, P.","PROTECT: Res. Centre for Critical Infrastruct. Comput. Technol. & Protection, Liverpool John Moores Univ., Liverpool, UK","High Performance Computing and Communication & 2012 IEEE 9th International Conference on Embedded Software and Systems (HPCC-ICESS), 2012 IEEE 14th International Conference on","20121018","2012","","","1473","1478","With the level of cyber-attacks increasing in volume and sophistication, the need for improved counter measures is growing. The repercussions of a successful attack on a critical infrastructure would result in a paralysing impact on the economy and the general population as a whole. For that reason, the framework proposed in our previous work details the use of a system for supporting security. Our aim is to provide support through collecting data from multiple sources of information. In doing so, our objective is to develop a more detailed overview of the operations inside critical infrastructures. Using this approach, we identify attacks taking place by uncovering changes in patterns of expected behaviour. The work is being done as part of the research being carried out at LJMU PROTECT Centre. This paper presents an overview of our system design and details how it would provide additional support through greater defence in depth. Related research into how critical infrastructures are currently protected, and our development and progress are also discussed.","","978-1-4673-2164-8","","10.1109/HPCC.2012.215","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6332351","Behavioural Observation;Critical Infrastructure;Critical Infrastructure Protection;Defence in Depth;Intrusion Detection System;Middleware;Security;Unified Threat Management system","Data models;Middleware;Monitoring;Real-time systems;Security;Sociology;Statistics","critical infrastructures;security of data","LJMU PROTECT Centre;attack identification;behaviour patterns;critical infrastructure security;cyber-attacks;operational support;system design;unified threat management system","","1","","19","","","25-27 June 2012","","IEEE","IEEE Conference Publications"
